delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
KIPFILET BLOND XL,kipfilet blond xl,BLOND CRUNCHY ALMOND BAR,BRAT XL BUNS,XL MILK CHOCOLATE,False
KIWI GOLD,kiwi gold,GOLD KIWI BLEND REVIVER,"GOLD KIWIFRUIT HONEY, GOLD KIWIFRUIT",GOLD KIWIFRUIT HONEY,False
KIWI GROEN XL 4 STUK,kiwi groen xl 4 stuk,KIWI,KIWI,"KIWI LEMONADE, KIWI",False
KIWI JAUNE,kiwi jaune,KIWI,KIWI,"KIWI LEMONADE, KIWI",False
KIWI JAUNE 500G,kiwi jaune,KIWI,KIWI,"KIWI LEMONADE, KIWI",False
KIWI SUNGOLD XL,kiwi sungold xl,KIWI,KIWI,"KIWI LEMONADE, KIWI",False
KIWI VERT,kiwi vert,HARICOT VERT,KIWI,KIWI,False
KLEEN GREEN XL 4 STUK,kleen green xl 4 stuk,BRAT XL BUNS,XL MILK CHOCOLATE,XL MILK CHOCOLATE,False
KLEI VADEN,klei vaden,,,,False
KLEIN GREEN XL 4 STUK,klein green xl 4 stuk,BRAT XL BUNS,XL MILK CHOCOLATE,XL MILK CHOCOLATE,False
KROEPOEK NAT,kroepoek nat,CPB NAT NECC,NAT APL JCE,4/5OZ NAT BRD FLOUNDER,False
KROK FLOCONS LAIT,krok flocons milk,MILK,MILK,MILK,False
LAISE NATUREL,laise naturel,"AU NATUREL PURE HONEY GRANOLA, AU NATUREL","UDI'S, ARTISAN GRANOLA, AU NATUREL",,False
LE BEURRE BIO,le butter bio,PRESSADE LE BIO MULTIFRUIT 1L TETRAPAK,PRESSADE LE BIO MULTIFRUIT 1L TETRAPAK,PRESSADE LE BIO MULTIFRUIT 1L TETRAPAK,False
LEEGGOD,leeggod,,,,False
LIEGEOIS GOUT CAFE,coffee dessert cream gout coffee,COFFEE CREAM,COFFEE,COFFEE,False
LIJNZAAD GEBROKEN 15,lijnzaad gebroken 15,"15 GRAIN BREAD, 15 GRAIN",15 BEAN SOUP,15 BEAN SOUP,False
LINDET EXCELLENCE,lindet excellence,"LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,"LINDT, EXCELLENCE DARK CHOCOLATE, LEMON",False
LINDEX EXCELLENCE,lindex excellence,"LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,"LINDT, EXCELLENCE DARK CHOCOLATE, LEMON",False
LINDT EXC12 CCAO,dark chocolate exc12 ccao,DARK CHOCOLATE,DARK CHOCOLATE,DARK CHOCOLATE,False
LINDT EXCELLENCE,dark chocolate excellence,"LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,EXCELLENCE 90% COCOA SUPREME DARK CHOCOLATE,False
LINGOT EXCELLENCE,lingot excellence,"LINDT, EXCELLENCE DARK CHOCOLATE",EXCELLENCE INTENSE ORANGE DARK CHOCOLATE,"LINDT, EXCELLENCE DARK CHOCOLATE, LEMON",False
LINTF EXCEL CACAO,lintf excel cacao,CACAO,"CACAO BUTTER, CACAO",CACAO BEVERAGE,False
LITCHIS,litchis,,,,False
MAGUE,mague,,,,False
MANDARINES,mandarines,,,,False
MANDARINES A FEUIL,mandarines a feuil,A,GRADE A,A COMPLETE BREAKFAST,False
"MANDARINES A FEUIL 4,46",mandarines a feuil 4 46,A,A BLEND OF 4 JUICES,V8 FIBER 46 FO,False
MANDARINES FEUILLE,mandarines feuille,,,,False
MANGUE,mango,MANGO,MANGO,MANGO,False
MARCHEOUS BLOC TRA,marcheous bloc tra,,,,False
MAREDSOUS TRADITIO,maredsous traditio,,,,False
MASCARPONE SL 500G,mascarpone sl,MASCARPONE,MASCARPONE,"MASCARPONE CHEESE, MASCARPONE",False
MECHELSESTEWEG 207,mechelsesteweg 207,,,,False
MEDAILLON DE VEAU,medaillon de veal,"VEAL DUMPLINGS, VEAL","VEAL DEMI GLACE, VEAL",GROUND VEAL,False
MEERGRANENSTOK.GROO,meergranenstok groo,,,,False
MEERGRANENSTOKB.GROO,meergranenstokb groo,,,,False
MEGA CRUNCHY CREAM,mega crunchy cream,"MEGA FLAVOR SPICE, MEGA",MEGA CRACKLINS,MEGA MALLOWS,False
MEI BABYBEL,mei babybel,"MEI WEI, PUDDING, ALMOND","SNACK TRAY, WITH EGG & BABYBEL CHEESE",,False
MEL JEUNES POUSSE,mel jeunes pousse,"PUMPKIN GLAZED MEL O CREAM BITES, PUMPKIN",,,False
MEL. JEUNES POUSSE,mel jeunes pousse,"PUMPKIN GLAZED MEL O CREAM BITES, PUMPKIN",,,False
MELI-MELO JORIS,meli melo joris,,,,False
MELO CAKES,melo cakes,CAKES,CAKES,CAKES,False
MENTHE GROS PO BIO,menthe gros po bio,SPICY PO SAUCE,ZOO BIO PASTA,CREME DE MENTHE,False
MERCERENSTOK.GROO,mercerenstok groo,,,,False
MERGELSTOKS.GROO,mergelstoks groo,,,,False
MES DEJEUNER DE SALAD,mes dejeuner de salad,SALAD,SALAD,SALAD,False
MESCLUN,mesclun,MESCLUN GOAT CHEESE SALAD,MESCLUN GOAT CHEESE SALAD,FRESH TOMATO & MOZZARELLA ON MESCLUN,False
MGA MELLO CAKE,mga mello cake,"MELLO CREME PUMPKINS, MELLO CREME","MELLO CREME AUTUMN MIX, MELLO CREME",CHRISTMAS MELLO CREMES,False
"MIGNON DE PORC 3,08",mignon de pork 3 08,FILET MIGNON,BEEF FILET MIGNON,FILET MIGNON BEEF JERKY,False
"MIGNON DE PORC 3,40",mignon de pork 3 40,FILET MIGNON,BEEF FILET MIGNON,FILET MIGNON BEEF JERKY,False
"MIGNON DE PORC 4,58",mignon de pork 4 58,FILET MIGNON,"4 PORK TAMALES, PORK",4 PORK TAMALES,False
MIKADO CHOC LAIT,mikado choc milk,MIKADO BISCUIT STICKS MILK CHOCOLATE,MIKADO BISCUIT STICKS MILK CHOCOLATE,MILK CHOC MLNO,False
MILKA CHOCO SUPREM,milka choco suprem,MILKA CHOCOLATE,MILKA CHOCOLATE,"CHOCO BISCUIT, CHOCO",False
MINI BABYBEL,mini babybel,MINI,MINI,"SNACK TRAY, WITH EGG & BABYBEL CHEESE",False
MINI BURGER ANGUS,mini burger angus,MINI ANGUS CHEESEBURGERS,ANGUS CHEESEBURGER MINI SANDWICHES,ANGUS CHUCK STEAK BURGER,False
MINI BURGER LIMOUS,mini burger limous,"MINI BURGER GUMMI CANDY, MINI BURGER",BURGER,BURGER,False
MINI BUTCHER BURGE,mini butcher burge,BUTCHER CUT PEPPER,BUTCHER CUT PEPPER,"BUTCHER BOY, CORN OIL",False
MINI SPECULOOS CHO,mini speculoos cho,"SPECULOOS COOKIES, SPECULOOS","COOKIE BUTTER, SPECULOOS",SPECULOOS COOKIE BUTTER,False
MINIQUES 500GR,miniques 500gr,,,,False
MINT GRENAILLES 50,mint grenailles 50,MINT,MINT,MINT,False
MINT-PIMENTS MIX,mint piments mix,"MINT MIX SUGARFREE GUM, MINT MIX",MERRY MINT MIX,MINT,False
MIRTILLES 500GR,mirtilles 500gr,,,,False
MIXTEARD 250G IMPE,mixteard impe,,,,False
MKA 30 MELO CAKES,mka 30 melo cakes,CAKES,CAKES,CAKES,False
MKADO CHOC LAIT,mkado choc milk,MILK CHOC MLNO,6OZ MILANO MILK CHOC,SB MILK CHOC CHUNK,False
MOUSSE MOKKA,mousse mokka,MOUSSE,Mousse,CHOCOLATE MOUSSE,False
MOUSSEL POM.MATER,moussel pom mater,"BLUE POM ACAI YERBA MATE, BLUE POM ACAI",FUJI POM BLEND JUICE,V8 ENGY POM BLUE,False
MOUSSEL.POM.MATER,moussel pom mater,"BLUE POM ACAI YERBA MATE, BLUE POM ACAI",FUJI POM BLEND JUICE,V8 ENGY POM BLUE,False
MOZZA BUFALINA,mozzarella buffalo mozzarella,BUFFALO MOZZARELLA,BUFFALO MILK MOZZARELLA,BUFFALO MILK MOZZARELLA,False
MOZZA SX10,mozzarella sx10,MOZZARELLA,MOZZARELLA,MOZZARELLA,False
MOZZARELLA 125GR,mozzarella 125gr,MOZZARELLA,MOZZARELLA,MOZZARELLA,False
MOZZARELLA MAXI,mozzarella maxi,MOZZARELLA,MOZZARELLA,MOZZARELLA,False
MRA 30 MELO CAKES,mra 30 melo cakes,CAKES,CAKES,CAKES,False
MRK 30 MELO CAKES,mrk 30 melo cakes,CAKES,CAKES,CAKES,False
MRS JEUNES POUSSE,mrs jeunes pousse,"MRS BAIRD'S, ITALIAN BREAD","MRS BRIDGES, CURD, LEMON","MRS DASH, MARINADE, STEAKHOUSE",False
MRS. JEUNES POUSSE,mrs jeunes pousse,"MRS BAIRD'S, ITALIAN BREAD","MRS BRIDGES, CURD, LEMON","MRS DASH, MARINADE, STEAKHOUSE",False
MULIGRAINS BUN,muligrains bun,BUN,Bao bun,CUSTARD BUN,False
MULTIGRAINS SUN,multigrains sun,"SUN DRIED TOMATOES, SUN DRIED","365 EVERYDAY VALUE, MULTIGRAINS & SEED BREAD",ARCTIC SUN SODA,False
MYRTELLE 150GR,myrtelle 150gr,,,,False
MYRTELLES 500GR,myrtelles 500gr,,,,False
MYRTILLES 500GR,blueberry 500gr,BLUEBERRY,BLUEBERRY,BLUEBERRY,False
NATURAL OLIVES BIO,natural olives bio,NATURAL ARBEQUINA OLIVES,"OLOVES, NATURAL OLIVES",ZOO BIO PASTA,False
NECTARINE BLANCHE,nectarine blanche,"TOPS, NECTARINE HALVES","GREEN TEA, PEACH NECTARINE",LEGENDARY FRUITS ORGANIC NECTARINE CONSERVE,False
NECTARINE JAUNE,nectarine jaune,"TOPS, NECTARINE HALVES","GREEN TEA, PEACH NECTARINE",LEGENDARY FRUITS ORGANIC NECTARINE CONSERVE,False
NEOJOYANCE CITRONEL,neojoyance citronel,,,,False
NESCAFE ESPRESSO,nescafe espresso,"ESPRESSO COCOROLLS, ESPRESSO","ESPRESSO GELATO, ESPRESSO","ESPRESSO GELATO, ESPRESSO",False
NET MULTISURF ECO,net multisurf eco,"ECO MEAL, FETA CHEESE",ZERO NET CARB TORTILLAS,"ECO MEAL, BABY MOZZARELLA CHEESE",False
NIVEA ROLL DRY IMP,nivea roll dry imp,ROLL,ROLL,ALMOND ROLL,False
NIVEA ST. CLEAR,nivea st clear,CLEAR BROTH,CLEAR EXTRACT,CLEAR EXTRACT,False
NOCCI CONF FIGUES,nocci conf fig,FIG,"FIG BAR, FIG","FIG BAR, FIG",False
NOIR DE NOIR C OR,noir de noir c or,COTE D'OR NOIR DE NOIR CHOCOLATE TABLET DARK,COTE D'OR NOIR DE NOIR CHOCOLATE TABLET DARK,CHOCOLAT NOIR,False
NOISETTES D AGNEAU,hazelnut d lamb,LAMB,"LAMB RUB, LAMB","LAMB SEASONING, LAMB",False
NOISETTES D'AGNEAU,hazelnut d lamb,LAMB,"LAMB RUB, LAMB","LAMB SEASONING, LAMB",False
NOSTAL CONF FIGUES,nostal conf fig,FIG,"FIG BAR, FIG","FIG BAR, FIG",False
NOUVEAU SOLDE DE POINTS,nouveau solde de points,Atole de avena,Atole de chocolate,CALDO DE CAMARON,False
"NS: 207,23",ns 207 23,FARFALLINE NO. 23 PASTA,PRG MARINARA 23 OZ,RIGATONI NO. 23 PASTA,False
NUGGETS,nuggets,NUGGETS,NUGGETS PRETZELS,NUGGETS FOR KIDS,False
NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
NUTRI-BOOST,nutri boost,ENERGY BOOST,IMMUNITY BOOST,SMOOTHIE BOOST,False
NUTRI-BOOST -10%,nutri boost 10,ENERGY BOOST,IMMUNITY BOOST,SMOOTHIE BOOST,False
OEUFS 6PC,eggs 6pc,EGGS,EGGS,EGGS,False
OEUFS BIO 12 PCS,eggs bio 12 pcs,12 LARGE EGGS,12 LARGE BROWN EGGS,ZOO BIO PASTA,False
OEUFS COLOMBUS,eggs colombus,EGGS,EGGS,EGGS,False
OEUFS COLUMBUS,eggs columbus,EGGS,EGGS,EGGS,False
OEUFS COQUUES,eggs coquues,EGGS,EGGS,EGGS,False
OEUFS FRAIS BIO 12PC,eggs frais bio 12pc,ZOO BIO PASTA,EGGS,EGGS,False
OEUVFS BIO 12 PCS,oeuvfs bio 12 pcs,ZOO BIO PASTA,BACON ENDS & PCS 10#,BACON ENDS & PCS 40#,False
OEUVS COLUMBUS,oeuvs columbus,"COLUMBUS PROSCIUTTO, 3 OZ","COLUMBUS PROSCIUTTO, 3 OZ","COLUMBUS CHARCUTERIE SAMPLER, 12 OZ",False
OIGNON JAUNE GEANT,onion jaune geant,ONION,ONION,"ONION BAGEL, ONION",False
OIGNON ROUGE 2PC,onion rouge 2pc,"ROUGE GOURMET CHEESE, ROUGE",ROUGE WASHED-RIND CHEESE,"VIN ROUGE RED WINE VINAIGRETTE, VIN ROUGE",False
OIGNONS JAUNE 1KG,onion jaune,ONION,ONION,"ONION BAGEL, ONION",False
OIGNONS JAUNES:2KG,onion jaunes,ONION,ONION,"ONION BAGEL, ONION",False
OLIVE DENOVA 130G,olive denova,"OLIVE BRUSCHETTA, OLIVE","OLIVE BRUSCHETTA, OLIVE","OLIVE BRUSCHETTA, OLIVE",False
OLIVE DENOYA 130G,olive denoya,"OLIVE BRUSCHETTA, OLIVE","OLIVE BRUSCHETTA, OLIVE","OLIVE BRUSCHETTA, OLIVE",False
OLIVES A L'AIL,olives a l garlic,GARLIC OLIVES,GARLIC STUFFED OLIVES,GARLIC STUFFED OLIVES,False
OLIVES KALAMATA,olives kalamata,KALAMATA OLIVES,KALAMATA OLIVES,KALAMATA OLIVES,False
ORAL B PREC CL REF,oral b prec cl ref,"DR. B SODA, DR. B","DR. B SODA, DR. B","DR. B SODA, DR. B",False
ORALB ENAMEL 1+1,oralb enamel 1 1,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,1 TO 1 BAKING FLOUR,False
ORANGE,orange,ORANGE,"ORANGE BEVERAGE, ORANGE","ORANGE BISCOTTI, ORANGE",False
ORANGES 4P,orange 4p,ORANGE,"ORANGE BEVERAGE, ORANGE","ORANGE BISCOTTI, ORANGE",False
OREO GRIG VANILLE,oreo grig vanille,"OREO CEREAL, OREO","OREO CEREAL, OREO","OREO CHEESECAKE, OREO",False
PACK PINK LADY,pack pink lady,"PINK LADY APPLES, PINK LADY","PINK LADY MICHIGAN APPLES, PINK LADY","PINK LADY ORGANIC APPLES, PINK LADY",False
PADANO,padano,GRANA PADANO,"GRANA PADANO CHEESE, GRANA PADANO","GRANA PADANO CHEESE, GRANA PADANO",False
PAIN DE VIANDE,bread de viande,ROSCA DE REYES BREAD,ROSCA DE REYES BREAD,HERB DE PROVENCE PAVE BREAD,False
PAMPLEMOUSSE ROUGE,grapefruit rouge,"ROUGE GOURMET CHEESE, ROUGE",ROUGE WASHED-RIND CHEESE,GRAPEFRUIT,False
PASTEQUE MINI,watermelon mini,"WATERMELON MINI CUPCAKES, WATERMELON",WATERMELON MINI CUPCAKES,"WATERMELON MINI SPARKLING WATER, WATERMELON",False
PATE A PIZZA,pasta a pizza,PIZZA WITH A PASTA TWIST,PIZZA PASTA,"ORGANIC PIZZA PASTA SAUCE, PIZZA PASTA",False
PATE DE LARD 1L,pasta de lard,LARD,LARD,Lard,False
PATEE IL,patee il,IL PANDORO,IL PANETTONE,IL POETA,False
PDT CHARLOTTE 1KG,pdt charlotte,"PREMIUM ICE CREAM, STRAWBERRY CHARLOTTE",,,False
PDT GRENA 1KG BIO,pdt grena bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
PDT GRENAILLE 1KG,pdt grenaille,,,,False
PECORINO ROMANO AO,pecorino romano ao,PECORINO ROMANO,"PECORINO ROMANO CHEESE, PECORINO ROMANO","PECORINO ROMANO CHEESE, PECORINO ROMANO",False
PEL PINK LADY 6P,pel pink lady 6p,"PINK LADY APPLES, PINK LADY","PINK LADY MICHIGAN APPLES, PINK LADY","PINK LADY ORGANIC APPLES, PINK LADY",False
PENNE RIGATE 500G,penne rigate,PENNE RIGATE,PENNE RIGATE,PENNE RIGATE,False
PENNE RIGATE BARI,penne rigate bari,PENNE RIGATE,PENNE RIGATE,PENNE RIGATE,False
PEREN,peren,,,,False
PERSIL BOUTE,persil boute,,,,False
PERSIL EN POT BIO,persil en pot bio,ZOO BIO PASTA,BRIE EN CROUTE,BRIE EN CROUTE,False
PESTO VERT 100G,pesto vert,HARICOT VERT,PESTO,PESTO,False
PETIT LION HOM NA,petit lion hom na,PETIT BISCUIT,PETIT GAUGRYA,PETIT BEURRE BISCUIT,False
PHILADELPHIA ORIGI,philadelphia origi,PHILADELPHIA ROLL,PHILADELPHIA ROLL,PHILADELPHIA ROLL,False
PICCOLINI PENNE,piccolini penne,PENNE,PENNE,PENNE,False
"PILO DE POULET 5,99",pilo de chicken 5 99,"5 CRISP CHICKEN BURRITOS, 5 CRISP CHICKEN","ALEXIAN PT DE CAMPAGNE, 5 OZ","ALEXIAN PT DE CAMPAGNE, 5 OZ",False
PILON DE POULET,pilon de chicken,PICO DE GALLO CHICKEN STARTER KIT,CHICKEN,CHICKEN,False
PISSOILET,pissoilet,,,,False
PIZZA MOZZA 125G,pizza mozzarella,PIZZA MOZZARELLA CHEDDAR CHEESE,MOZZARELLA  PIZZA,"MACABEE, MOZZARELLA CHEESE PIZZA",False
PIZZA MOZZA PESTO,pizza mozzarella pesto,MOZZARELLA & PESTO PIZZA,PESTO FRESH MOZZARELLA PIZZA,PESTO MOZZARELLA ARTISAN PIZZA,False
PLATEAU FAMIGLIA,plateau famiglia,FAMIGLIA PIZZA SAUCE,ALLA FAMIGLIA FAMILY STYLE GNOCCHI,"GLUTEN FREE GNOCCHI, ALLA FAMIGLIA",False
POI: 01691910,poi 01691910,Poi,,,False
POINTS SUR MONTANT DES ACHATS,points sur montant des achats,CREMEUX DES CITEAUX,"BIG SUR BREAKFAST BURRITO, BIG SUR BREAKFAST",BIG SUR BREAKFAST BURRITOS,False
POIRES D'OLLE,pear d olle,"PEAR APPLESAUCE, PEAR","PEAR KOMBUCHA, PEAR","PEAR NECTAR, PEAR",False
POIS CHICHES,chickpea,CHICKPEA,"CHICKPEA BUTTER, CHICKPEA","CHICKPEA CHIPS, CHICKPEA",False
POISSON NUGGETS,poisson nuggets,NUGGETS,GEFILTE FISH POISSON GEFILTE IN LIQUID,ALLIGATOR NUGGETS,False
POIVRON ROUGE,bell pepper rouge,"ROUGE GOURMET CHEESE, ROUGE",BELL PEPPER STRIPS,"BELL PEPPER ZESTY RELISH, BELL PEPPER ZESTY",False
POIVRONS JAUNES,bell pepper jaunes,BELL PEPPER STRIPS,"BELL PEPPER ZESTY RELISH, BELL PEPPER ZESTY",BELL PEPPER CORN BLEND,False
POIVRONS MIX,bell pepper mix,ORGANIC MIXED BELL PEPPER,ALL NATURAL MIXED BELL PEPPERS,BELL PEPPER STRIPS,False
POIVRONS ROUGES,bell pepper rouges,BELL PEPPER STRIPS,"BELL PEPPER ZESTY RELISH, BELL PEPPER ZESTY",BELL PEPPER CORN BLEND,False
POMELO,pomelo,"POMELO SPARKLING WATER, POMELO",DRIED POMELO,DRIED POMELO,False
POMELO 9/PC,pomelo 9 pc,"POMELO SPARKLING WATER, POMELO",DRIED POMELO,DRIED POMELO,False
POMME DUCHESSE,apple duchesse,APPLE,APPLE,APPLE,False
POMME GRENA,apple grena,APPLE,APPLE,APPLE,False
POMMEOUSE ROUGE,pommeouse rouge,"ROUGE GOURMET CHEESE, ROUGE",ROUGE WASHED-RIND CHEESE,"VIN ROUGE RED WINE VINAIGRETTE, VIN ROUGE",False
POMMES BROLES,apple broles,APPLE,APPLE,APPLE,False
POMMES DROLES,apple droles,APPLE,APPLE,APPLE,False
POMMES JEUNES POUS,apple jeunes pous,APPLE,APPLE,APPLE,False
POMMETTE 500G,pommette,,,,False
POTIRON BUTTERNUT,potiron butternut,"BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT",False
"POTIRON BUTTERNUT 1,550 KG X",potiron butternut 1 550 kg x,"BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT","BUTTERNUT NOODLES, BUTTERNUT",False
POUSS MIK,pouss mik,,,,False
PR.SAN DANIELE,pr san daniele,PROSCIUTTO DI SAN DANIELE,"PRINCIPE, PROSCIUTTO DI SAN DANIELE","PRINCIPE, PROSCIUTTO DI SAN DANIELE",False
PREIS BEURRE 250G,preis butter,BUTTER,BUTTER,BUTTER,False
PREIS BEURRE FT D,preis butter ft d,SUSHI COMBO D,VITAMIN D MILK,VITAMIN D MILK,False
PRESID BEURRE 250G,presid butter,"PRESIDENT, LIGHT BUTTER",BUTTER,BUTTER,False
PRITT CORRECT-IT,pritt correct it,ISN'T IT BUTTER,MIX IT UNIVERSAL,"CHEEZE IT UP CRUNCHY KALE, CHEEZE IT UP",False
PROMO,promo,PROMO - PHILLY ROLL,PROMO - SHRIMP ROLL,"PROMO - SALMON ROLL, SALMON",False
"PROMO-BOOST -1,21",promo boost 1 21,ENERGY BOOST,IMMUNITY BOOST,SMOOTHIE BOOST,False
"PROMO-BOOST -3,00",promo boost 3 00,"Flour, 00","flour, 00",ENERGY BOOST,False
"PROMO-BOOST -4,36",promo boost 4 36,ROTINI 36,ENERGY BOOST,IMMUNITY BOOST,False
PROSC CRUDO ITALIA,prosc crudo italia,PROSCIUTTO CRUDO,ITALIA STRACCIATELLA,ITALIA CHILI PESTO,False
PROSCIUTTO ITALIA,prosciutto italia,PROSCIUTTO D'ITALIA,"MARIANOS, PROSCIUTTO D'ITALIA","PROSCIUTTO ITALIANO, ITALIANO",False
PROTEIN DR FRAI,protein dr frai,DR PEPPER,DR TOPPER,"DR PEPPER CAKE, DR PEPPER",False
PT SUISSE M 6X60G,pt suisse m 6x60g,CHICKEN PT,CHICKEN PT,GOOSE PT,False
RAISIN MIX 500G,grape mix,GRAPE DRINK MIX,GRAPE DRINK MIX,"GRAPE DRINK MIX WITH CAFFEINE, GRAPE",False
RAISIN MLK 500G,grape mlk,MLNO DBL MLK,GRAPE,GRAPE,False
RAISIN ROUGE SA PE,grape rouge sa pe,"GRA PE JUICE COCKTAIL, GRAPE","ROUGE GOURMET CHEESE, ROUGE",LAK SA PASTE,False
RAN POMPADURINETTE 15,ran pompadurinette 15,"15 GRAIN BREAD, 15 GRAIN",15 BEAN SOUP,15 BEAN SOUP,False
RAVIOLI POMODORI,ravioli pomodori,"PASSATA, SAN MARZANO POMODORI",RAVIOLI,RAVIOLI,False
RAVIOLI RIC&SPIN,ravioli ric spin,RICOTTA SPINACH RAVIOLI,SPINACH RICOTTA RAVIOLI,ENRICHED RIC,False
REDUCTION NUTRI-BOOST,reduction nutri boost,BALSAMIC REDUCTION,BALSAMIC REDUCTION,ENERGY BOOST,False
REDUCTION S/ARTICLE,reduction s article,BALSAMIC REDUCTION,BALSAMIC REDUCTION,BALSAMIC REDUCTION SONOMA,False
REDUCTION S/ARTICLE MANGUE,reduction s article mango,BALSAMIC REDUCTION,BALSAMIC REDUCTION,BALSAMIC REDUCTION SONOMA,False
RHIZIN MUS 500G,rhizin mus,98% FF CR MUS,,,False
RINSETAK,rinsetak,,,,False
RIZ DLONG BIO,rice dlong bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,RICE,False
ROMB CACHET DOR G,romb cachet dor g,"HONEY G CRAFT GIARDINIERA, HONEY G",G FUEL PEWDIEPIE,GARLIC SALT G,False
ROSBIEF,rosbief,,,,False
ROSBIF,roast beef,ROAST BEEF,ROAST BEEF,ROAST BEEF,False
ROSEB,roseb,,,,False
ROSEIF,roseif,,,,False
ROSENET PURE PORC,rosenet pure pork,PORK,PORK,PORK,False
ROSETTE,rosette,8 S/L ROSETTE AND BALLOON GOLD CAKE,,,False
ROSETTE PURE PORC,rosette pure pork,PORK,PORK,PORK,False
ROSTIER PURE DORC,rostier pure dorc,PURE ALMONDMILK,PURE GHEE,PURE HONEY,False
ROSTY,rosty,,,,False
ROTI DE VEAU,roti de veal,ROTI PRATHA,"VEAL DUMPLINGS, VEAL","VEAL DEMI GLACE, VEAL",False
ROZZA BUFALINA,rozza buffalo mozzarella,BUFFALO MOZZARELLA,"BUFFALO MOZZARELLA CHEESE, BUFFALO",BUFFALO MILK MOZZARELLA,False
SAC A PAIN TRADITIONNEL,sac a bread traditionnel,SAC SAC GRAPE,CAMEMBERT TRADITIONNEL,"ASSI, SAC SAC GRAPE",False
SAC PAIN BASIC N2,sac bread basic n2,SAC SAC GRAPE,"ASSI, SAC SAC GRAPE","LOTTE, SAC SAC GRAPE",False
SAIL SURIMI-CRABE,sail surimi crabe,"Fish, surimi",SURIMI SALAD,CHILLED SURIMI FLAKES,False
SAL BLE EMB 100GR,sal wheat emb 100gr,SIN SAL MANTEQUILLA,"TORTILLA CHIPS, SAL Y LIMON",CREMA CON SAL GRADE A SOUR CREAM,False
SAL BLEME 100GR,sal bleme 100gr,SIN SAL MANTEQUILLA,"TORTILLA CHIPS, SAL Y LIMON",CREMA CON SAL GRADE A SOUR CREAM,False
SAL. PRINTANIERE /J,sal printaniere j,SIN SAL MANTEQUILLA,"TORTILLA CHIPS, SAL Y LIMON","PB & J GRANOLA, PB & J",False
SAL. SURIMI-CRABE,sal surimi crabe,"Fish, surimi",SURIMI SALAD,SIN SAL MANTEQUILLA,False
SALAD ITALIAN,salad italian,ITALIAN SALAD,ITALIAN SALAD,ITALIAN SALAD,False
SALAD MEXIC STYLE,salad mexic style,MEXICAN STYLE SALAD,MEXICAN STYLE SALAD,"SALAD STYLE RIPE OLIVES, SALAD STYLE",False
SALAD MOROCCA,salad morocca,MOROCCAN SALAD WITH HARISSA DRESSING,ORGANIC MOROCCAN INSPIRED SALAD WITH CHICKEN,SALAD,False
SALADE FOLLET,salad lettuce follet,SPANISH LETTUCE SALAD,BUTTER LETTUCE AND RED LEAF LETTUCE SALAD,BABY LETTUCE,False
SALADE POULET,salad lettuce chicken,CHICKEN SALAD SUB ROLL W/ LETTUCE & TOMATO,SPANISH LETTUCE SALAD,BUTTER LETTUCE AND RED LEAF LETTUCE SALAD,False
SALADE ROUGET,salad lettuce rouget,SPANISH LETTUCE SALAD,BUTTER LETTUCE AND RED LEAF LETTUCE SALAD,BABY LETTUCE,False
SALADE TOILET,salad lettuce toilet,SPANISH LETTUCE SALAD,BUTTER LETTUCE AND RED LEAF LETTUCE SALAD,BABY LETTUCE,False
SALAMI ROULET,salami roulet,SALAMI,SALAMI,SALAMI,False
SALAMI TRUFFES PAR,salami truffes par,"CEMOI, TRUFFES","TRUFFES SOFT RIPENED CHEESE, TRUFFES",LES TRUFFES CREATIVES,False
SAN MARZANO,san marzano,SAN MARZANO TOMATOES,SAN MARZANO BLOODY MARY,SAN MARZANO BLEND* PIZZA SAUCE,False
"SAN MARZANO 1,650 KG X",san marzano 1 650 kg x,SAN MARZANO TOMATOES,"PASSATA, SAN MARZANO POMODORI",SAN MARZANO BLOODY MARY,False
SAN PELLEGRINO,san pellegrino,DE SAN ANTONIO,SAN DIEGO SOURDOUGH,SAN FRANCISCO BLEND,False
SANPELLEGRINO,sparkling water,SPARKLING WATER,SPARKLING WATER,SPARKLING WATER,False
SAPTAF APPEL,saptaf appel,,,,False
SAUCE PIMENT SRIRA,sauce piment srira,HOT SAUCE PIMENT CHO,"MIXED PICKLE, HOT CHILI, PIMENT FORT","SPICY MANGO PICKLE, HOT CHILLI PIMENT FORT",False
SAUCIE POULET,saucie chicken,CHICKEN,CHICKEN,CHICKEN,False
